ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,Cluster
5524,1957,2,4,58138.0,0,0,80,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,3
2174,1954,2,4,46344.0,1,1,157,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,0
4141,1965,2,5,71613.0,0,0,444,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,3
6182,1984,2,5,26646.0,1,0,199,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,0
5324,1981,4,3,58293.0,1,0,390,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,1
7446,1967,3,5,62513.0,0,1,189,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,1
965,1971,2,2,55635.0,0,1,280,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,1
6177,1985,4,3,33454.0,1,0,160,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,0
4855,1974,4,5,30351.0,1,0,119,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,0
5899,1950,4,5,5648.0,1,1,267,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,0
387,1976,1,3,7500.0,0,0,280,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,0
2125,1959,2,2,63033.0,0,0,321,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,3
8180,1952,3,2,59354.0,1,1,321,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,1
2569,1987,2,3,17323.0,0,0,212,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,0
2114,1946,4,4,82800.0,0,0,517,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,2
9736,1980,2,3,41850.0,1,1,518,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,0
4939,1946,2,5,37760.0,0,0,657,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,0
6565,1949,3,3,76995.0,0,1,590,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,3
2278,1985,0,4,33812.0,1,0,62,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,0
9360,1982,2,3,37040.0,0,0,165,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,0
5376,1979,2,3,2447.0,1,0,109,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,3
1993,1949,4,3,58607.0,0,1,497,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,3,11,0,1
4047,1954,4,3,65324.0,0,1,219,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,3,11,0,1
1409,1951,2,5,40689.0,0,1,370,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,3,11,0,1
7892,1969,2,4,18589.0,0,0,22,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,3,11,0,0
2404,1976,2,3,53359.0,1,1,573,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,3,11,0,0
9422,1989,2,3,38360.0,1,0,653,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,3,11,0,0
